nombre,tipo_eleccion,votos_totales,n_registros
CHINACOTA DESARROLLO TURISTICO,Concejo Municipal,686,12
CIRCASIA DECIDE,Concejo Municipal,483,13
CIRCASIA LIBRE,Alcaldía Municipal,6305,1
CIRCASIA UNIDA,Alcaldía Municipal,4529,1
CIRCASIA UNIDA POR UN CONCEJO FIRME,Concejo Municipal,1427,13
CIUDAD BOLIVAR EN BUENAS MANOS,Alcaldía Municipal,3117,1
CIUDADANOS EN ACCION,Alcaldía Municipal,16028,1
CIUDADANOS FIRMES CON MANIZALES,Alcaldía Municipal,37003,1
CIUDADANOS INDEPENDIENTES POR ACACIAS - CIPA,Concejo Municipal,3416,16
CIUDADANOS LIBRES POR BUSBANZA,Concejo Municipal,197,6
CIUDADANOS POR EL META,Concejo Municipal,7028,20
CIUDADANOS POR MARSELLA,Concejo Municipal,588,14
CIUDADANOS POR VILLAVICENCIO,Concejo Municipal,6404,20
CIUDADANOS SOLIDARIOS POR QUIMBAYA,Alcaldía Municipal,6377,1
CIVICO ECOLOGICO,Concejo Municipal,9792,18
CIVICO ECOLOGICO,Camara de Representantes,7431,2
CIVICO ECOLOGICO,Senado,3914,2156
COAGROPACIFICO LTDA,C??mara de Representantes,1111,625
"COALCION ALCALDIA DE GENOVA-QUIN.PARTIDO CAMBIO RADICAL -ALIANZA SOCIAL INDEPENDIENTE - PARTIDO COLOMBIA JUSTA LIBRES Y PARTIDO COLOMBIA RENACIENTE - ""UNIDOS CONSTRUIREMOS UN CAMBIO PARA GENOVA""",Alcaldía Municipal,1576,1
COLOMBIA EN PAZ,Concejo Municipal,3172,15
COMERCIANTES POR GARZON,Concejo Municipal,639,6
COMITE CIUDADANO DE RESTREPO VALLE - OSSA,Alcaldía Municipal,2777,1
COMITE CIUDADANO DE RESTREPO VALLE - OSSA,Concejo Municipal,1233,12
COMITÉ 2 DE MAYO,C??mara de Representantes,2605,39
COMITÉ PERMANENTE POR LA DEFENSA DE LOS DERECHOS HUMANOS ARAUCA,C??mara de Representantes,1608,12
COMPROMISO CIUDADANO INTEGRAL - CCI,Concejo Municipal,7655,18
COMPROMISO CIUDADANO POR ANTIOQUIA,Gobernaci??n,45234,125
COMPROMISO CIUDADANO POR COLOMBIA,Senado,181513,5218
COMPROMISO CIVICO CIUDADANO,Concejo Municipal,2301,18
COMPROMISO CIVICO INTEGRAL,Concejo Municipal,6163,18
COMPROMISO CON CIENAGA,Concejo Municipal,6016,17
COMPROMISO CON RESPONSABILIDAD,Alcaldía Municipal,2140,1
COMPROMISO CON RIONEGRO,Alcaldía Municipal,17118,1
COMPROMISO POR ANTIOQUIA,Gobernaci??n,401968,125
COMPROMISO POR CAROLINA,Alcaldía Municipal,411,1
COMPROMISO POR ZIPAQUIRA,Alcaldía Municipal,21509,2
COMPROMISO POR ZIPAQUIRA,Concejo Municipal,5224,18
COMPROMISO SOCIAL POR GRANADA,Alcaldía Municipal,1638,1
COMPROMISO SOCIAL POR TABIO,Alcaldía Municipal,2322,1
COMPROMISO SOCIAL POR TABIO,Concejo Municipal,1496,13
COMPROMISO SOCORRANO,Concejo Municipal,1998,9
COMPROMISO TOTAL,Alcaldía Municipal,2774,1
COMUNAL INDEPENDIENTE SECTOR CORDILLERA,Concejo Municipal,345,6
COMUNIDAD DE NEGROS DE AGUAS BLANCAS,C??mara de Representantes,404,366
COMUNIDAD INDIGENA DE BARRANCON,Senado,3901,1134
COMUNIDAD INDIGENA DE CRISTINIA,C??mara de Representantes,22529,6570
COMUNIDAD INDÍGENA AMOYA LA VIRGINIA,C??mara de Representantes,1752,12
COMUNIDAD INDÍGENA SAN LUIS,C??mara de Representantes,733,43
COMUNIDAD INDÍGENA ZENÚ DE GALAPA,C??mara de Representantes,631,38
COMUNIDADES AFROCOLOMBIANAS Y NEGRITUDES ORGANIZADAS PARA EL AVANCE SOCIOCULTURAL - CANOAS,C??mara de Representantes,4395,761
COMUNIDADES INDIGENAS,Senado,14245,2114
COMUNIDADES NEGRAS,Camara de Representantes,131206,25368
COMUNIDADES NEGRAS,Senado,13584,4228
COMUNIDADES NEGRAS,Presidencia Primera Vuelta,11772,1084
COMUNIDADES NEGRAS CORREGIMIENTO LA UNION,C??mara de Representantes,4977,5058
COMUNITARIO Y PARTICIPATIVO,Alcaldía Municipal,3433,1
COMUPAZ,C??mara de Representantes,1112,23
CON AMOR POR SALENTO,Alcaldía Municipal,1131,1
CON DECISION Y COMPROMISO POR CHIA,Alcaldía Municipal,12061,1
CON EL CAMBIO UBALA CRECE,Alcaldía Municipal,2956,1
CON GIRON TRABAJANDO,Alcaldía Municipal,11420,1
CON LA GENTE,Alcaldia,5440,2
CON LA GENTE,Alcaldía Municipal,4107,1
CON LAS PILAS BIEN PUESTAS,Alcaldía Municipal,761,1
CON PEQUEÑOS ESFUERZOS LOGRAREMOS GRANDES CAMBIOS,Alcaldía Municipal,3,1
CON VOLUNTAD Y RESULTADOS DE VERDAD,Alcaldía Municipal,1694,1
